Gender;År;Månad;Månad_Nummer;Säsong;Antal_Döda
Kvinnor;2000;Januari;1;Vinter;17.0
Kvinnor;2000;Februari;2;Vinter;28.0
Kvinnor;2000;Mars;3;Vår;32.0
Kvinnor;2000;April;4;Vår;26.0
Kvinnor;2000;Maj;5;Vår;32.0
Kvinnor;2000;Juni;6;Sommar;22.0
Kvinnor;2000;Juli;7;Sommar;27.0
Kvinnor;2000;Augusti;8;Sommar;38.0
Kvinnor;2000;September;9;Höst;18.0
Kvinnor;2000;Oktober;10;Höst;26.0
Kvinnor;2000;November;11;Höst;25.0
Kvinnor;2000;December;12;Vinter;27.0
Kvinnor;2001;Januari;1;Vinter;31.0
Kvinnor;2001;Februari;2;Vinter;28.0
Kvinnor;2001;Mars;3;Vår;27.0
Kvinnor;2001;April;4;Vår;40.0
Kvinnor;2001;Maj;5;Vår;29.0
Kvinnor;2001;Juni;6;Sommar;20.0
Kvinnor;2001;Juli;7;Sommar;25.0
Kvinnor;2001;Augusti;8;Sommar;26.0
Kvinnor;2001;September;9;Höst;34.0
Kvinnor;2001;Oktober;10;Höst;27.0
Kvinnor;2001;November;11;Höst;33.0
Kvinnor;2001;December;12;Vinter;33.0
Kvinnor;2002;Januari;1;Vinter;21.0
Kvinnor;2002;Februari;2;Vinter;23.0
Kvinnor;2002;Mars;3;Vår;31.0
Kvinnor;2002;April;4;Vår;36.0
Kvinnor;2002;Maj;5;Vår;31.0
Kvinnor;2002;Juni;6;Sommar;26.0
Kvinnor;2002;Juli;7;Sommar;29.0
Kvinnor;2002;Augusti;8;Sommar;22.0
Kvinnor;2002;September;9;Höst;21.0
Kvinnor;2002;Oktober;10;Höst;19.0
Kvinnor;2002;November;11;Höst;22.0
Kvinnor;2002;December;12;Vinter;27.0
Kvinnor;2003;Januari;1;Vinter;22.0
Kvinnor;2003;Februari;2;Vinter;23.0
Kvinnor;2003;Mars;3;Vår;27.0
Kvinnor;2003;April;4;Vår;26.0
Kvinnor;2003;Maj;5;Vår;32.0
Kvinnor;2003;Juni;6;Sommar;28.0
Kvinnor;2003;Juli;7;Sommar;34.0
Kvinnor;2003;Augusti;8;Sommar;28.0
Kvinnor;2003;September;9;Höst;26.0
Kvinnor;2003;Oktober;10;Höst;26.0
Kvinnor;2003;November;11;Höst;30.0
Kvinnor;2003;December;12;Vinter;21.0
Kvinnor;2004;Januari;1;Vinter;28.0
Kvinnor;2004;Februari;2;Vinter;28.0
Kvinnor;2004;Mars;3;Vår;24.0
Kvinnor;2004;April;4;Vår;24.0
Kvinnor;2004;Maj;5;Vår;28.0
Kvinnor;2004;Juni;6;Sommar;15.0
Kvinnor;2004;Juli;7;Sommar;30.0
Kvinnor;2004;Augusti;8;Sommar;36.0
Kvinnor;2004;September;9;Höst;26.0
Kvinnor;2004;Oktober;10;Höst;18.0
Kvinnor;2004;November;11;Höst;27.0
Kvinnor;2004;December;12;Vinter;25.0
Kvinnor;2005;Januari;1;Vinter;42.0
Kvinnor;2005;Februari;2;Vinter;23.0
Kvinnor;2005;Mars;3;Vår;29.0
Kvinnor;2005;April;4;Vår;28.0
Kvinnor;2005;Maj;5;Vår;41.0
Kvinnor;2005;Juni;6;Sommar;41.0
Kvinnor;2005;Juli;7;Sommar;30.0
Kvinnor;2005;Augusti;8;Sommar;23.0
Kvinnor;2005;September;9;Höst;36.0
Kvinnor;2005;Oktober;10;Höst;36.0
Kvinnor;2005;November;11;Höst;24.0
Kvinnor;2005;December;12;Vinter;30.0
Kvinnor;2006;Januari;1;Vinter;31.0
Kvinnor;2006;Februari;2;Vinter;30.0
Kvinnor;2006;Mars;3;Vår;20.0
Kvinnor;2006;April;4;Vår;37.0
Kvinnor;2006;Maj;5;Vår;22.0
Kvinnor;2006;Juni;6;Sommar;44.0
Kvinnor;2006;Juli;7;Sommar;29.0
Kvinnor;2006;Augusti;8;Sommar;36.0
Kvinnor;2006;September;9;Höst;25.0
Kvinnor;2006;Oktober;10;Höst;37.0
Kvinnor;2006;November;11;Höst;35.0
Kvinnor;2006;December;12;Vinter;28.0
Kvinnor;2007;Januari;1;Vinter;39.0
Kvinnor;2007;Februari;2;Vinter;28.0
Kvinnor;2007;Mars;3;Vår;27.0
Kvinnor;2007;April;4;Vår;27.0
Kvinnor;2007;Maj;5;Vår;31.0
Kvinnor;2007;Juni;6;Sommar;16.0
Kvinnor;2007;Juli;7;Sommar;27.0
Kvinnor;2007;Augusti;8;Sommar;32.0
Kvinnor;2007;September;9;Höst;27.0
Kvinnor;2007;Oktober;10;Höst;23.0
Kvinnor;2007;November;11;Höst;31.0
Kvinnor;2007;December;12;Vinter;14.0
Kvinnor;2008;Januari;1;Vinter;28.0
Kvinnor;2008;Februari;2;Vinter;28.0
Kvinnor;2008;Mars;3;Vår;27.0
Kvinnor;2008;April;4;Vår;31.0
Kvinnor;2008;Maj;5;Vår;36.0
Kvinnor;2008;Juni;6;Sommar;18.0
Kvinnor;2008;Juli;7;Sommar;26.0
Kvinnor;2008;Augusti;8;Sommar;25.0
Kvinnor;2008;September;9;Höst;29.0
Kvinnor;2008;Oktober;10;Höst;19.0
Kvinnor;2008;November;11;Höst;22.0
Kvinnor;2008;December;12;Vinter;24.0
Kvinnor;2009;Januari;1;Vinter;27.0
Kvinnor;2009;Februari;2;Vinter;23.0
Kvinnor;2009;Mars;3;Vår;31.0
Kvinnor;2009;April;4;Vår;42.0
Kvinnor;2009;Maj;5;Vår;39.0
Kvinnor;2009;Juni;6;Sommar;31.0
Kvinnor;2009;Juli;7;Sommar;33.0
Kvinnor;2009;Augusti;8;Sommar;21.0
Kvinnor;2009;September;9;Höst;28.0
Kvinnor;2009;Oktober;10;Höst;22.0
Kvinnor;2009;November;11;Höst;30.0
Kvinnor;2009;December;12;Vinter;23.0
Kvinnor;2010;Januari;1;Vinter;28.0
Kvinnor;2010;Februari;2;Vinter;23.0
Kvinnor;2010;Mars;3;Vår;34.0
Kvinnor;2010;April;4;Vår;28.0
Kvinnor;2010;Maj;5;Vår;24.0
Kvinnor;2010;Juni;6;Sommar;22.0
Kvinnor;2010;Juli;7;Sommar;24.0
Kvinnor;2010;Augusti;8;Sommar;29.0
Kvinnor;2010;September;9;Höst;29.0
Kvinnor;2010;Oktober;10;Höst;19.0
Kvinnor;2010;November;11;Höst;26.0
Kvinnor;2010;December;12;Vinter;15.0
Kvinnor;2011;Januari;1;Vinter;35.0
Kvinnor;2011;Februari;2;Vinter;23.0
Kvinnor;2011;Mars;3;Vår;31.0
Kvinnor;2011;April;4;Vår;36.0
